barbecue		rorerore	barbecue_940_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/940/barbecue.940.main_glosses.rp.r480x360.mp4	1.1.3	in front of body	actions and activities|food and drink|house and garden	barbecue	barbecue			rorerore	rorerore
barbecue		rorerore	barbecue_604_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/604/barbecue.604.main_glosses.sp.r480x360.mp4	1.1.1	palm	actions and activities|food and drink|house and garden	barbecue	barbecue			rorerore	rorerore
basement		pūwhenua	basement_6504_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6504/basement.6504.main_glosses.dh.r480x360.mp4	5.1.1	in front of body	house and garden	basement	basement			puwhenua	puwhenua
bastard		pōkokohua	bastard_3294_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/3294/bastard.3294.main_glosses.mb.r480x360.mp4	3.2.1	in front of body	miscellaneous	bastard	bastard			pokokohua	pokokohua
bathroom		rūma horoi	bathroom_1439_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/1439/bathroom.1439.main_glosses.jo.r480x360.mp4	1.1.1	chest	house and garden	bathroom	bathroom			ruma horoi	ruma horoi
Bay of Islands			bay_of_islands_6769_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6769/Bay_of_Islands.6769.main_glosses.mb.mp4	1.1.1	in front of body	new zealand place names	bay of islands	bay|of|islands				
Bay of Plenty		Te Moana a Toi	bay_of_plenty_6770_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6770/Bay_of_Plenty.6770.main_glosses.mb.mp4	1.1.1	in front of body	new zealand place names	bay of plenty	bay|of|plenty			te moana a toi	te moana a toi
bay		whanga	bay_521_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/521/bay.521.main_glosses.vs.r480x360.mp4	1.1.1	in front of body	nature and environment|places	bay	bay			whanga	whanga
beach		ākau	beach_6347_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6347/beach.6347.main_glosses.mb.r480x360.mp4	3.1.1	cheek	nature and environment|places	beach	beach			akau	akau
bear		pea	bear_5005_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5005/bear.5005.main_glosses.rp.r480x360.mp4	2.3.1	in front of body	animals	bear	bear			pea	pea
Beckenham			beckenham_6592_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6592/Beckenham.6592.main_glosses.mb.mp4	4.2.1	in front of body	new zealand place names	beckenham	beckenham				
bedroom		rūma moe	bedroom_242_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/242/bedroom.242.main_glosses.rp.r480x360.mp4	1.1.1	head	house and garden	bedroom	bedroom			ruma moe	ruma moe
Beehive		Whare Miere	beehive_4827_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/4827/Beehive.4827.main_glosses.sp.r480x360.mp4	6.5.2	in front of body	government and politics|places	beehive	beehive			whare miere	whare miere
behind		muri	behind_1141_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/1141/behind.1141.main_glosses.mb.r480x360.mp4	1.3.1	in front of body	direction, location and spatial relations	behind	behind			muri	muri
Belfast			belfast_6593_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6593/Belfast.6593.main_glosses.mb.mp4	3.3.1	in front of body	new zealand place names	belfast	belfast				
